drug,symptom,indication
427,60,0.0
588,170,0.0
359,149,0.0
24,10,0.0
279,139,0.0
193,11,1.0
221,110,1.0
149,75,1.0
328,1,1.0
5,88,1.0
728,87,1.0
568,75,1.0
596,12,0.0
564,87,1.0
717,60,1.0
475,90,1.0
427,115,0.0
698,110,1.0
534,87,1.0
356,66,1.0
4,8,1.0
505,68,1.0
1,8,0.0
266,141,0.0
646,143,0.0
627,159,0.0
14,75,1.0
465,77,0.0
531,115,0.0
631,24,0.0
394,53,1.0
296,75,1.0
126,112,0.0
573,153,0.0
321,110,1.0
113,46,0.0
267,25,0.0
470,147,0.0
173,58,1.0
562,66,0.0
190,110,1.0
666,66,1.0
582,105,0.0
89,33,1.0
159,110,1.0
695,66,1.0
366,69,0.0
167,160,0.0
580,158,0.0
516,88,1.0
290,30,0.0
460,123,0.0
207,88,1.0
353,87,1.0
506,67,1.0
682,67,1.0
409,76,0.0
219,93,0.0
682,86,0.0
523,14,0.0
632,131,0.0
78,87,1.0
162,164,0.0
25,87,1.0
42,10,0.0
355,87,1.0
513,66,0.0
264,110,1.0
270,120,0.0
742,110,1.0
224,27,0.0
534,123,1.0
451,75,1.0
223,87,1.0
224,129,0.0
262,30,0.0
97,37,0.0
440,123,1.0
262,72,0.0
573,173,0.0
608,156,0.0
758,168,1.0
666,165,0.0
338,154,1.0
66,110,1.0
31,87,1.0
120,132,0.0
615,33,1.0
658,32,0.0
677,3,0.0
377,17,0.0
278,26,0.0
180,132,0.0
797,131,0.0
286,125,0.0
766,132,0.0
599,75,1.0
620,94,0.0
408,110,1.0
208,127,0.0
647,75,1.0
123,67,1.0
459,66,0.0
19,10,0.0
45,67,1.0
455,171,0.0
461,90,1.0
267,55,0.0
555,75,1.0
149,110,1.0
372,43,0.0
742,75,1.0
302,110,1.0
701,21,0.0
163,13,0.0
422,160,0.0
301,67,1.0
473,149,0.0
443,53,1.0
352,8,1.0
473,87,1.0
151,75,1.0
92,127,0.0
476,135,0.0
487,78,0.0
521,140,0.0
540,68,1.0
698,90,1.0
620,110,1.0
784,84,0.0
232,166,0.0
527,87,1.0
630,87,1.0
9,100,0.0
757,68,1.0
539,108,0.0
62,1,1.0
461,147,1.0
206,28,1.0
112,88,1.0
269,67,1.0
9,68,1.0
777,75,1.0
258,91,0.0
615,130,0.0
738,37,0.0
341,108,1.0
78,90,1.0
421,87,1.0
99,14,0.0
501,87,1.0
410,1,0.0
788,66,1.0
404,146,0.0
268,83,0.0
25,51,1.0
516,118,1.0
76,60,1.0
363,36,0.0
590,74,0.0
310,87,1.0
509,62,0.0
537,75,1.0
505,87,1.0
24,37,0.0
316,87,1.0
430,87,1.0
206,87,1.0
350,151,0.0
275,1,1.0
386,164,0.0
215,75,1.0
732,87,1.0
607,75,1.0
264,136,0.0
372,117,0.0
432,20,0.0
363,1,1.0
794,75,1.0
225,2,0.0
282,67,1.0
132,66,1.0
554,52,0.0
145,24,0.0
152,170,0.0
329,33,1.0
464,87,1.0
538,75,1.0
396,46,0.0
348,162,0.0
466,67,1.0
203,111,0.0
92,73,0.0
239,92,0.0
682,8,1.0
795,131,0.0
568,170,0.0
591,115,0.0
661,110,1.0
522,128,0.0
592,59,0.0
17,75,1.0
269,6,0.0
486,103,0.0
275,53,1.0
464,108,1.0
116,87,1.0
202,29,0.0
434,75,1.0
512,75,1.0
60,75,1.0
496,62,0.0
62,68,1.0
585,90,1.0
35,60,1.0
522,68,1.0
361,118,1.0
118,6,0.0
40,145,0.0
54,88,1.0
388,31,0.0
79,126,0.0
5,119,0.0
522,160,0.0
550,83,0.0
43,33,0.0
536,42,0.0
114,90,1.0
755,66,1.0
32,75,1.0
670,72,0.0
682,53,1.0
273,137,1.0
199,68,1.0
127,87,1.0
687,68,1.0
633,138,1.0
20,61,0.0
383,167,0.0
216,75,1.0
58,139,0.0
535,153,0.0
21,87,1.0
545,75,1.0
605,87,1.0
621,29,1.0
464,23,1.0
184,98,0.0
552,68,1.0
246,136,0.0
444,79,0.0
666,75,1.0
193,75,1.0
737,43,1.0
229,66,0.0
7,75,1.0
666,131,0.0
568,68,1.0
235,146,0.0
288,169,0.0
473,110,1.0
127,110,1.0
66,11,1.0
364,154,1.0
363,138,0.0
289,138,0.0
443,141,0.0
99,68,1.0
647,74,1.0
636,68,1.0
159,1,1.0
430,118,1.0
607,87,1.0
636,2,0.0
332,75,1.0
786,71,0.0
97,87,1.0
588,75,1.0
12,68,1.0
683,51,0.0
159,33,1.0
517,80,0.0
623,77,0.0
186,18,0.0
338,53,1.0
712,1,1.0
706,29,1.0
242,132,0.0
741,26,0.0
655,33,0.0
484,154,1.0
269,115,0.0
136,111,0.0
7,106,0.0
262,90,0.0
362,119,0.0
114,75,1.0
736,4,0.0
784,15,0.0
360,72,0.0
443,3,0.0
183,19,0.0
138,70,0.0
354,49,0.0
524,14,1.0
283,142,0.0
261,87,1.0
457,110,1.0
455,96,0.0
215,99,0.0
330,59,0.0
318,75,1.0
672,119,1.0
